Product ID,Variant ID,SKU,Width,Height
375370331,37679782789296,DDL032-GWC4030,40,30
,37679782822064,DDL032-GWC1620,20,16
376692631,37679782297776,ABS0812-GWC1216,16,12
,37679782330544,ABS0812-GWC1620,20,16
,37679782363312,ABS0812-GWC2030,30,20
,37679782428848,ABS0812-GWC3040,40,30
376705583,37679782199472,CD824-GWC2016QD,64,20
376712275,37679781576880,CD825-GWC3040,40,30
376720795,37679781511344,CD826-GWC5PC,60,30
376723415,37679781478576,SMASH7-GWC3040,40,30
376728595,37679781380272,SMASH16-GWC3040,40,30
376729159,37679781314736,CD827-GWC2016TP,48,20
376732259,37679781118128,ETABX3-GWC3036_2x3012,60,30
,37679781150896,ETABX3-GWC3020DP,40,30
,37679781183664,ETABX3-GWC2016DP,32,20
,37679781216432,ETABX3-GWC3040DP-4,60,40
376733743,37679781019824,CD828-GWC5PC,60,30
376736075,37679780823216,CD081-MW3012_5PC,60,30
,37679780855984,CD081-MW2412QD,48,24
,37679780921520,CD081-MW1812TP,36,18
,37679780954288,CD081-GWC6030,60,30
376737591,37679780757680,CD829-GWC2412QD,48,24
376745655,37679780659376,CD830-GWC2412QD,48,24
376748903,37679780626608,CD831-GWC2412QD,48,24
376750119,37679779807408,AM007-GWC1616DP,32,16
376750667,37679779774640,CD832-GWC5PC,60,30
376752891,37679779709104,CD833-GWC5PC,60,30
376753839,37679776661680,CD834-GWC5PC,60,30
,37679776694448,CD834-MW1812TP,36,18
,37679776727216,CD834-MW2412QD,48,24
,37679776759984,CD834-MW3012_5PC,60,30
376754783,37679776628912,CD835-GWC5PC,60,30
376757751,37679776563376,CD836-GWC2412QD,48,24
376759563,37679776465072,CD837-GWC4030,30,40
376761983,37679775711408,CD838-GWC5PC,60,30
,37679775744176,CD838-MW1812TP,36,18
,37679775776944,CD838-MW2412QD,48,24
,37679775809712,CD838-MW3012_5PC,60,30
376768163,37679775547568,CD840-GWC2016TP,48,20
377548275,37679775449264,SMASH9-GWC3040,40,30
377549831,37679775383728,SMASH18-GWC3040,40,30
377553871,37679775252656,BX11-GWC4030,30,40
,37679775285424,BX11-GWC3020,20,30
,37679775318192,BX11-GWC1612,12,16
377557991,37679775187120,BB038-GWC3060,60,30
377560791,37679775154352,CD085-GWC6030,60,30
377563139,37679775121584,SA101-GWC2032,32,20
377565511,37679774924976,AM009-GWC1620TP,48,20
,37679774957744,AM009-GWC2412TP,36,24
,37679774990512,AM009-GWC4020TP,60,40
377567611,37679774498992,AM006-GWC1616DP,32,16
377569919,37679774105776,ABFLWR1-GWC2040DP,40,40
377572611,37679774040240,SMASH17-GWC3040DP,60,40
377574311,37679773974704,SMASH11-GWC3040,40,30
377577143,37679773843632,BX28-GWC3040,40,30
377580083,37679773778096,DSC1066edD-GWC1224TP,36,24
377583983,37679773483184,BB077-GWC3060,60,30
,37679773548720,BB077-MW1812TP,36,18
,37679773614256,BB077-MW2412QD,48,24
,37679773712560,BB077-MW3012_5PC,60,30
